[ 2025-12-15 14:53:54 | ActorPool | INFO ] Ray detected 1.0 GPU(s), allocating 0.25 GPU per actor
[ 2025-12-15 14:53:54 | ActorPool | INFO ] Initialized with 4 actors, 0.25 GPU per actor
[ 2025-12-15 14:53:54 | node | INFO ] InMemoryServer started at node
[ 2025-12-15 14:53:54 | node | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 14:53:54 | node_1 | INFO ] InMemoryServer started at node_1
[ 2025-12-15 14:53:54 | node_1 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 14:53:54 | node_2 | INFO ] InMemoryServer started at node_2
[ 2025-12-15 14:53:54 | node_2 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 14:53:54 | node_3 | INFO ] InMemoryServer started at node_3
[ 2025-12-15 14:53:54 | node_3 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 14:53:54 | node_4 | INFO ] InMemoryServer started at node_4
[ 2025-12-15 14:53:54 | node_4 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 14:53:54 | node_5 | INFO ] InMemoryServer started at node_5
[ 2025-12-15 14:53:54 | node_5 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 14:53:54 | node_6 | INFO ] InMemoryServer started at node_6
[ 2025-12-15 14:53:54 | node_6 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 14:53:54 | node_7 | INFO ] InMemoryServer started at node_7
[ 2025-12-15 14:53:54 | node_7 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 14:53:54 | node_8 | INFO ] InMemoryServer started at node_8
[ 2025-12-15 14:53:54 | node_8 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 14:53:54 | node_9 | INFO ] InMemoryServer started at node_9
[ 2025-12-15 14:53:54 | node_9 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 14:53:54 |  | INFO ] Connected nodes node and node_1
[ 2025-12-15 14:53:54 |  | INFO ] Connected nodes node and node_9
[ 2025-12-15 14:53:54 |  | INFO ] Connected nodes node_1 and node_2
[ 2025-12-15 14:53:54 |  | INFO ] Connected nodes node_2 and node_3
[ 2025-12-15 14:53:54 |  | INFO ] Connected nodes node_3 and node_4
[ 2025-12-15 14:53:54 |  | INFO ] Connected nodes node_4 and node_5
[ 2025-12-15 14:53:55 |  | INFO ] Connected nodes node_5 and node_6
[ 2025-12-15 14:53:55 |  | INFO ] Connected nodes node_6 and node_7
[ 2025-12-15 14:53:55 |  | INFO ] Connected nodes node_7 and node_8
[ 2025-12-15 14:53:55 |  | INFO ] Connected nodes node_8 and node_9
[ 2025-12-15 14:53:55 | node | INFO ] 🚀 Broadcasting start learning...
[ 2025-12-15 14:53:55 | node_1 | INFO ] 🔍 Neighbors found: ['node', 'node_2'] | Degree: 2
[ 2025-12-15 14:53:55 | node_9 | INFO ] 🔍 Neighbors found: ['node', 'node_8'] | Degree: 2
[ 2025-12-15 14:53:55 | node_1 | INFO ] ⏳ Waiting initialization.
[ 2025-12-15 14:53:55 | node_9 | INFO ] ⏳ Waiting initialization.
[ 2025-12-15 14:53:55 | node | INFO ] 🔍 Neighbors found: ['node_1', 'node_9'] | Degree: 2
[ 2025-12-15 14:53:55 | node | INFO ] ⏳ Waiting initialization.
[ 2025-12-15 14:53:55 | node | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-15 14:53:56 | node_2 | INFO ] 🔍 Neighbors found: ['node_1', 'node_3'] | Degree: 2
[ 2025-12-15 14:53:56 | node_2 | INFO ] ⏳ Waiting initialization.
[ 2025-12-15 14:53:56 | node_3 | INFO ] 🔍 Neighbors found: ['node_2', 'node_4'] | Degree: 2
[ 2025-12-15 14:53:56 | node_4 | INFO ] 🔍 Neighbors found: ['node_3', 'node_5'] | Degree: 2
[ 2025-12-15 14:53:56 | node_3 | INFO ] ⏳ Waiting initialization.
[ 2025-12-15 14:53:56 | node_4 | INFO ] ⏳ Waiting initialization.
[ 2025-12-15 14:53:56 | node_8 | INFO ] 🔍 Neighbors found: ['node_7', 'node_9'] | Degree: 2
[ 2025-12-15 14:53:56 | node_8 | INFO ] ⏳ Waiting initialization.
[ 2025-12-15 14:53:56 | node_1 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-15 14:53:56 | node_1 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-15 14:53:56 | node_9 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-15 14:53:56 | node_9 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-15 14:53:57 | node_5 | INFO ] 🔍 Neighbors found: ['node_4', 'node_6'] | Degree: 2
[ 2025-12-15 14:53:57 | node_5 | INFO ] ⏳ Waiting initialization.
[ 2025-12-15 14:53:57 | node_6 | INFO ] 🔍 Neighbors found: ['node_5', 'node_7'] | Degree: 2
[ 2025-12-15 14:53:57 | node_6 | INFO ] ⏳ Waiting initialization.
[ 2025-12-15 14:53:57 | node_7 | INFO ] 🔍 Neighbors found: ['node_6', 'node_8'] | Degree: 2
[ 2025-12-15 14:53:57 | node_7 | INFO ] ⏳ Waiting initialization.
[ 2025-12-15 14:53:57 | node_2 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-15 14:53:57 | node_8 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-15 14:53:57 | node | INFO ] 🤫 Gossip finished.
[ 2025-12-15 14:53:57 | node_2 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-15 14:53:57 | node_8 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-15 14:53:58 | node_9 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 14:53:58 | node_1 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 14:53:58 | node_3 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-15 14:53:58 | node_7 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-15 14:53:58 | node_3 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-15 14:53:58 | node_7 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-15 14:53:59 | node_1 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 14:53:59 | node_9 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 14:53:59 | node | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 14:53:59 | node_4 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-15 14:53:59 | node_6 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-15 14:53:59 | node_2 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 14:53:59 | node_4 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-15 14:53:59 | node_6 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-15 14:53:59 | node_8 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 14:54:00 | node_2 | INFO ] 🗳️ Sending train set vote.
