[ 2025-12-15 16:08:30 | node_4 | INFO ] 🧩 Model added (3/7) from ['node_1']
[ 2025-12-15 16:08:30 | node_1 | INFO ] 🧩 Model added (4/9) from ['node_3']
[ 2025-12-15 16:08:30 | node_5 | INFO ] 🧩 Model added (3/6) from ['node_1']
[ 2025-12-15 16:08:30 | node_5 | INFO ] 🧩 Model added (4/6) from ['node_4']
[ 2025-12-15 16:08:30 | node_2 | INFO ] 🧩 Model added (4/9) from ['node_3']
[ 2025-12-15 16:08:30 | node_6 | INFO ] 🧩 Model added (3/5) from ['node_4']
[ 2025-12-15 16:08:30 | node_47 | INFO ] 🧩 Model added (2/6) from ['node_1']
[ 2025-12-15 16:08:30 | node_4 | INFO ] 🧩 Model added (4/7) from ['node_3']
[ 2025-12-15 16:08:30 | node_48 | INFO ] 🧩 Model added (3/7) from ['node_1']
[ 2025-12-15 16:08:30 | node_5 | INFO ] 🧩 Model added (5/6) from ['node_3']
[ 2025-12-15 16:08:30 | node_49 | INFO ] 🧩 Model added (3/8) from ['node_1']
[ 2025-12-15 16:08:30 | node_6 | INFO ] 🧩 Model added (4/5) from ['node_3']
[ 2025-12-15 16:08:30 | node | INFO ] 📤 Sending model to 8 direct neighbors: ['node_1', 'node_2', 'node_3', 'node_4', 'node_46', 'node_47', 'node_48', 'node_49']
[ 2025-12-15 16:08:31 | node_5 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_1', 'node_2', 'node_3', 'node_4', 'node_6']
[ 2025-12-15 16:08:31 | node_1 | INFO ] 🧩 Model added (5/9) from ['node']
[ 2025-12-15 16:08:31 | node_49 | INFO ] 🧩 Model added (4/8) from ['node_3']
[ 2025-12-15 16:08:31 | node_1 | INFO ] 🧩 Model added (6/9) from ['node_5']
[ 2025-12-15 16:08:31 | node_6 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_2', 'node_3', 'node_4', 'node_5']
[ 2025-12-15 16:08:31 | node_2 | INFO ] 🧩 Model added (5/9) from ['node']
[ 2025-12-15 16:08:31 | node_2 | INFO ] 🧩 Model added (6/9) from ['node_6']
[ 2025-12-15 16:08:31 | node_2 | INFO ] 🧩 Model added (7/9) from ['node_5']
[ 2025-12-15 16:08:31 | node_3 | INFO ] 🧩 Model added (5/8) from ['node']
[ 2025-12-15 16:08:31 | node_3 | INFO ] 🧩 Model added (6/8) from ['node_6']
[ 2025-12-15 16:08:31 | node_49 | INFO ] 📤 Sending model to 7 direct neighbors: ['node_46', 'node_47', 'node_48', 'node', 'node_1', 'node_2', 'node_3']
[ 2025-12-15 16:08:31 | node_3 | INFO ] 🧩 Model added (7/8) from ['node_5']
[ 2025-12-15 16:08:31 | node_4 | INFO ] 🧩 Model added (5/7) from ['node']
[ 2025-12-15 16:08:31 | node_46 | INFO ] 🧩 Model added (2/5) from ['node_49']
[ 2025-12-15 16:08:31 | node_4 | INFO ] 🧩 Model added (6/7) from ['node_6']
[ 2025-12-15 16:08:31 | node_48 | INFO ] 📤 Sending model to 6 direct neighbors: ['node_46', 'node_47', 'node_49', 'node', 'node_1', 'node_2']
[ 2025-12-15 16:08:31 | node_4 | INFO ] 🧩 Model added (7/7) from ['node_5']
[ 2025-12-15 16:08:31 | node_4 | INFO ] 🧠 Aggregating models.
[ 2025-12-15 16:08:31 | node_46 | INFO ] 🧩 Model added (3/5) from ['node']
[ 2025-12-15 16:08:31 | node_47 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_46', 'node_48', 'node_49', 'node', 'node_1']
[ 2025-12-15 16:08:31 | node_46 | INFO ] 🧩 Model added (4/5) from ['node_48']
[ 2025-12-15 16:08:31 | node_47 | INFO ] 🧩 Model added (3/6) from ['node_49']
[ 2025-12-15 16:08:31 | node_46 | INFO ] 🧩 Model added (5/5) from ['node_47']
[ 2025-12-15 16:08:31 | node_6 | INFO ] 🧩 Model added (5/5) from ['node_5']
[ 2025-12-15 16:08:31 | node_5 | INFO ] 🧩 Model added (6/6) from ['node_6']
[ 2025-12-15 16:08:31 | node_47 | INFO ] 🧩 Model added (4/6) from ['node']
[ 2025-12-15 16:08:31 | node_46 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_47', 'node_48', 'node_49', 'node']
[ 2025-12-15 16:08:31 | node_5 | INFO ] 🧠 Aggregating models.
[ 2025-12-15 16:08:31 | node_6 | INFO ] 🧠 Aggregating models.
[ 2025-12-15 16:08:31 | node_47 | INFO ] 🧩 Model added (5/6) from ['node_46']
[ 2025-12-15 16:08:31 | node_48 | INFO ] 🧩 Model added (4/7) from ['node_49']
[ 2025-12-15 16:08:31 | node_47 | INFO ] 🧩 Model added (6/6) from ['node_48']
[ 2025-12-15 16:08:31 | node_48 | INFO ] 🧩 Model added (5/7) from ['node']
[ 2025-12-15 16:08:31 | node_48 | INFO ] 🧩 Model added (6/7) from ['node_47']
[ 2025-12-15 16:08:32 | node_4 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-15 16:08:32 | node_48 | INFO ] 🧩 Model added (7/7) from ['node_46']
[ 2025-12-15 16:08:32 | node_49 | INFO ] 🧩 Model added (5/8) from ['node_48']
[ 2025-12-15 16:08:32 | node | INFO ] 🧩 Model added (6/9) from ['node_49']
[ 2025-12-15 16:08:32 | node_49 | INFO ] 🧩 Model added (6/8) from ['node']
[ 2025-12-15 16:08:32 | node_5 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-15 16:08:32 | node_49 | INFO ] 🧩 Model added (7/8) from ['node_47']
[ 2025-12-15 16:08:32 | node_6 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-15 16:08:32 | node_49 | INFO ] 🧩 Model added (8/8) from ['node_46']
[ 2025-12-15 16:08:32 | node | INFO ] 🧩 Model added (7/9) from ['node_48']
[ 2025-12-15 16:08:32 | node_1 | INFO ] 🧩 Model added (7/9) from ['node_49']
[ 2025-12-15 16:08:32 | node | INFO ] 🧩 Model added (8/9) from ['node_47']
[ 2025-12-15 16:08:32 | node | INFO ] 🧩 Model added (9/9) from ['node_46']
[ 2025-12-15 16:08:32 | node | INFO ] 🧠 Aggregating models.
[ 2025-12-15 16:08:32 | node_2 | INFO ] 🧩 Model added (8/9) from ['node_49']
