[ 2025-12-14 08:38:05 | ActorPool | INFO ] Ray detected 1.0 GPU(s), allocating 0.17 GPU per actor
[ 2025-12-14 08:38:05 | ActorPool | INFO ] Initialized with 6 actors, 0.16666666666666666 GPU per actor
[ 2025-12-14 08:38:05 | node | INFO ] InMemoryServer started at node
[ 2025-12-14 08:38:05 | node | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_1 | INFO ] InMemoryServer started at node_1
[ 2025-12-14 08:38:05 | node_1 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_2 | INFO ] InMemoryServer started at node_2
[ 2025-12-14 08:38:05 | node_2 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_3 | INFO ] InMemoryServer started at node_3
[ 2025-12-14 08:38:05 | node_3 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_4 | INFO ] InMemoryServer started at node_4
[ 2025-12-14 08:38:05 | node_4 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_5 | INFO ] InMemoryServer started at node_5
[ 2025-12-14 08:38:05 | node_5 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_6 | INFO ] InMemoryServer started at node_6
[ 2025-12-14 08:38:05 | node_6 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_7 | INFO ] InMemoryServer started at node_7
[ 2025-12-14 08:38:05 | node_7 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_8 | INFO ] InMemoryServer started at node_8
[ 2025-12-14 08:38:05 | node_8 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_9 | INFO ] InMemoryServer started at node_9
[ 2025-12-14 08:38:05 | node_9 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_10 | INFO ] InMemoryServer started at node_10
[ 2025-12-14 08:38:05 | node_10 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_11 | INFO ] InMemoryServer started at node_11
[ 2025-12-14 08:38:05 | node_11 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_12 | INFO ] InMemoryServer started at node_12
[ 2025-12-14 08:38:05 | node_12 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_13 | INFO ] InMemoryServer started at node_13
[ 2025-12-14 08:38:05 | node_13 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_14 | INFO ] InMemoryServer started at node_14
[ 2025-12-14 08:38:05 | node_14 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_15 | INFO ] InMemoryServer started at node_15
[ 2025-12-14 08:38:05 | node_15 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_16 | INFO ] InMemoryServer started at node_16
[ 2025-12-14 08:38:05 | node_16 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_17 | INFO ] InMemoryServer started at node_17
[ 2025-12-14 08:38:05 | node_17 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_18 | INFO ] InMemoryServer started at node_18
[ 2025-12-14 08:38:05 | node_18 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_19 | INFO ] InMemoryServer started at node_19
[ 2025-12-14 08:38:05 | node_19 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_20 | INFO ] InMemoryServer started at node_20
[ 2025-12-14 08:38:05 | node_20 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_21 | INFO ] InMemoryServer started at node_21
[ 2025-12-14 08:38:05 | node_21 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_22 | INFO ] InMemoryServer started at node_22
[ 2025-12-14 08:38:05 | node_22 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:38:05 | node_23 | INFO ] InMemoryServer started at node_23
